2017-06-04 08:59:38,937 processing leve2_url[https://socialblade.com/youtube/user/limpbizkitvevo] , [4998] left
2017-06-04 08:59:43,177 processing leve2_url[https://socialblade.com/youtube/user/lego] , [4997] left
2017-06-04 08:59:47,161 processing leve2_url[https://socialblade.com/youtube/user/greenday] , [4996] left
2017-06-04 08:59:52,022 processing leve2_url[https://socialblade.com/youtube/user/michellephan] , [4995] left
2017-06-04 08:59:57,269 processing leve2_url[https://socialblade.com/youtube/user/picapicavevo] , [4994] left
2017-06-04 09:00:02,426 processing leve2_url[https://socialblade.com/youtube/user/tseries] , [4993] left
2017-06-04 09:00:09,428 processing leve2_url[https://socialblade.com/youtube/channel/UChGJGhZ9SOOHvBB0Y4DOO_w] , [4992] left
2017-06-04 09:00:13,368 processing leve2_url[https://socialblade.com/youtube/user/shakiravevo] , [4991] left
2017-06-04 09:00:18,446 processing leve2_url[https://socialblade.com/youtube/user/aerosmithvevo] , [4990] left
2017-06-04 09:00:23,187 processing leve2_url[https://socialblade.com/youtube/user/austinmvevo] , [4989] left
2017-06-04 09:00:28,094 processing leve2_url[https://socialblade.com/youtube/user/setindia] , [4988] left
2017-06-04 09:00:34,230 processing leve2_url[https://socialblade.com/youtube/user/luisfonsivevo] , [4987] left
2017-06-04 09:00:41,565 processing leve2_url[https://socialblade.com/youtube/user/canalkondzilla] , [4986] left
2017-06-04 09:00:49,345 processing leve2_url[https://socialblade.com/youtube/user/edsheeran] , [4985] left
2017-06-04 09:00:57,134 processing leve2_url[https://socialblade.com/youtube/user/multialfa007] , [4984] left
2017-06-04 09:01:03,009 processing leve2_url[https://socialblade.com/youtube/channel/UC4Pg4VMErK0WQJZI_suR7jA] , [4983] left
2017-06-04 09:01:08,144 processing leve2_url[https://socialblade.com/youtube/user/arianagrandevevo] , [4982] left
2017-06-04 09:01:14,332 processing leve2_url[https://socialblade.com/youtube/user/americanauthorsvevo] , [4981] left
2017-06-04 09:01:19,737 processing leve2_url[https://socialblade.com/youtube/user/malumavevo] , [4980] left
2017-06-04 09:01:26,036 processing leve2_url[https://socialblade.com/youtube/user/avivbeni] , [4979] left
2017-06-04 09:01:30,805 processing leve2_url[https://socialblade.com/youtube/user/hindervevo] , [4978] left
2017-06-04 09:01:36,315 processing leve2_url[https://socialblade.com/youtube/user/workpointofficial] , [4977] left
2017-06-04 09:01:40,582 processing leve2_url[https://socialblade.com/youtube/user/cinematoday] , [4976] left
2017-06-04 09:01:43,336 processing leve2_url[https://socialblade.com/youtube/user/katyperryvevo] , [4975] left
2017-06-04 09:01:46,293 processing leve2_url[https://socialblade.com/youtube/user/reinomariaelenawalsh] , [4974] left
2017-06-04 09:01:48,869 processing leve2_url[https://socialblade.com/youtube/user/toypudding] , [4973] left
2017-06-04 09:01:51,180 processing leve2_url[https://socialblade.com/youtube/channel/UCD6VbYPnqFnOaURDM5ok-6A] , [4972] left
